duration_song,centroid_f,Ht_temporal_entropy,LFC_spectral_cover,MFC_spectral_cover,HFC_spectral_cover,Hf_spectral_entropy,number_of_freq_peaks,Hf_Havrda_spectral_entropy,Hf_Renyi_spectral_entropy,Hf_pairedShannon_spectral_entropy,Hf_gamma_spectral_entropy,Hf_GiniSimpson_spectral_entropy,peak_freq,peak_freq_amp_by_mean_amp,peak_f_roi,centroid_f_roi,num_syllables_per_unit_time,syllable_duration_mean,syllable_duration_std,mean_gap_duration,gap_duration_std,sound_per_silence_ratio,sound_per_vocalization_ratio,drumming,birdlife_sci_name,short_or_continuous_song
13.75,4898.8037,0.8422,0.3825,0.3704,0.377,0.73,37.25,0.3332,4.0668,5.547,8263.4179,0.9853,4216.958,0.6064,4780.8047,4974.1699,6.457,0.0562,0.0198,0.0949,0.0527,0.6195,0.3622,no,Hippolais icterina,long
3.25,3700.1221,0.7893,0.3638,0.3238,0.3399,0.599,30.0833,0.3322,3.1856,4.7168,2425.6325,0.9608,3775.333,1.3077,3675.3503,3728.833,7.0916,0.0516,0.0161,0.0871,0.0385,0.5209,0.3661,no,Hippolais polyglotta,short
14,3703.7109,0.8819,0.3654,0.3275,0.3458,0.6899,32,0.3332,3.8743,5.2948,4936.2349,0.9825,3208.9141,1.4115,3210.9141,3746.7773,7,0.0613,0.028,0.0855,0.0423,0.7246,0.4293,no,Linaria cannabina,short
10.3333,4091.3086,0.8401,0.337,0.2618,0.3016,0.6077,23.3333,0.3324,3.3031,4.7706,4841.2671,0.9604,4008.1094,0.811,4001.1094,4062.5977,9.409,0.0443,0.016,0.0601,0.032,0.759,0.417,no,Locustella luscinioides,""
,6115.4297,0.9076,0.356,0.2831,0.3355,0.5023,11,0.3309,2.4626,4.0971,1566.1133,0.9294,5971.1641,1.7907,5971.1641,6072.3633,9.6,0.051,0.0237,0.055,0.028,0.9378,0.4899,no,Locustella naevia,continuous
0.4444,5751.7578,0.8168,0.2707,0.2157,0.3233,0.4925,32.1111,0.3306,2.4437,4.0333,2305.5847,0.925,5417.3898,3.3027,5424.1823,5770.8984,3.1111,0.0629,0.0162,0.1164,0.0321,0.1935,0.1935,no,Alcedo atthis,short
6,5124.9024,0.8716,0.3433,0.2906,0.3007,0.5946,27,0.3328,3.3388,4.6928,2363.6695,0.9675,5288.7682,1.4711,5170.569,5139.2578,6.8333,0.0571,0.0261,0.0847,0.0463,0.6966,0.391,no,Apus apus,short
3,4629.6387,0.8952,0.3384,0.3154,0.2983,0.5952,32.5,0.3328,3.2148,4.6957,2247.8232,0.9667,4840.3877,1.704,4842.3877,4694.2383,6.1875,0.0602,0.0232,0.0981,0.0645,0.6581,0.3731,no,Apus pallidus,""
7.75,3832.9102,0.8122,0.3269,0.3368,0.3343,0.5535,29.25,0.3322,2.8917,4.428,2517.7643,0.9511,3933.5098,1.6469,3935.2598,3854.4434,10.05,0.0432,0.0096,0.0684,0.0259,0.7666,0.4141,no,Tachymarptis melba,""
4.3333,3086.4258,0.8331,0.348,0.3002,0.3178,0.5303,29.3333,0.3322,2.9927,4.2831,1219.8795,0.9512,2900.2383,3.4867,2901.405,3100.7812,7.1,0.0561,0.0206,0.0737,0.034,0.7653,0.3966,no,Monticola solitarius,""
6.2,3229.9805,0.8127,0.38,0.3074,0.3496,0.5873,25.6,0.3317,2.9955,4.6398,2129.1986,0.9541,3192.4742,2.716,3190.6609,3264.4336,7.0197,0.0567,0.0246,0.078,0.041,0.7555,0.3963,no,Monticola saxatilis,""
1,3587.97,0.7286,0.358,0.3163,0.3359,0.6152,32.8125,0.3324,3.341,4.8192,3237.5607,0.9635,3326.376,1.4611,3478.4209,3585.2783,6.5312,0.0571,0.0198,0.0928,0.0447,0.356,0.3331,no,Turdus torquatus,short
3,3703.7109,0.637,0.3843,0.3391,0.3682,0.6332,36.3333,0.3329,3.4662,4.9363,3307.3443,0.9724,3122.4258,1.4254,3120.0924,3631.9336,3.5556,0.0614,0.009,0.1224,0.0216,0.2419,0.1936,no,Passer montanus,short
